Sample	Animal	Diet	AgeGroup	AgeExact	Daysln	TypeAll	Type	Sex	ScourSample	chao	shannon	ADGKG	Gain	TotalIntake	ill.scour	ill.resp	ill.ketosis	ill.mastitis	ill.all	MPE	Effic
5047.1yr.S2	5047	C	1yr	365	5.899897354	S2	S	F	Y	2273.045045	6.133311	1.07	390.85		2	0	0	0	10		
5047.1yr.S3	5047	C	1yr	366	5.902633333	S3	S	F	Y	2788.540541	5.90495	1.07	390.85		2	0	0	0	10		
5047.2w.F	5047	C	2w	11	2.397895273	F	F	F	N	146.4	2.409165	1.66	14.97	174	0	0	0	0	0		
5047.2yr.F	5047	C	2yr	882	6.782192056	F	F	F	N	1847.388489	5.25742	0.72	637.3		2	0	0	0	10	3.58	3.86
5047.2yr.L1	5047	C	2yr	881	6.781057626	L1	L	F	Y	2101.862069	5.364443	0.72	637.3		2	0	0	0	10	3.58	3.86
5047.2yr.L2	5047	C	2yr	882	6.782192056	L2	L	F	Y	1833.842553	5.680437	0.72	637.3		2	0	0	0	10	3.58	3.86
5047.2yr.L3	5047	C	2yr	883	6.783325201	L3	L	F	Y	2678.983871	5.772293	0.72	637.3		2	0	0	0	10	3.58	3.86
5047.2yr.S1	5047	C	2yr	881	6.781057626	S1	S	F	Y	1725.130952	5.029531	0.72	637.3		2	0	0	0	10	3.58	3.86
5047.2yr.S2	5047	C	2yr	882	6.782192056	S2	S	F	Y	1815.874372	5.452232	0.72	637.3		2	0	0	0	10	3.58	3.86
5047.2yr.S3	5047	C	2yr	883	6.783325201	S3	S	F	Y	2142.789474	5.499742	0.72	637.3		2	0	0	0	10	3.58	3.86
5047.4w.F	5047	C	4w	26	3.258096538	F	F	F	N	276.903226	3.234032	1.8	43.09	2666	2	0	0	0	2		
5047.8w.F	5047	C	8w	56	4.007333185	F	F	F	N	503.386364	4.294992	1.49	78.93	48381	2	0	0	0	2		
5048.1yr.F	5048	B	1yr	363	5.894402834	F	F	F	N	1814.764331	5.459591	0.92	336.57		0	0	0	0	8		
5048.1yr.L1	5048	B	1yr	363	5.894402834	L1	L	F	N	3400.470297	5.860916	0.92	336.57		0	0	0	0	8		
5048.1yr.L2	5048	B	1yr	364	5.897153868	L2	L	F	N	2456.22291	5.811158	0.92	336.57		0	0	0	0	8		
5048.1yr.L3	5048	B	1yr	365	5.899897354	L3	L	F	N	2294.962457	5.396184	0.92	336.57		0	0	0	0	8		
5048.1yr.S1	5048	B	1yr	363	5.894402834	S1	S	F	N	2892.427046	6.114951	0.92	336.57		0	0	0	0	8		
5048.1yr.S2	5048	B	1yr	364	5.897153868	S2	S	F	N	1458.914634	6.017221	0.92	336.57		0	0	0	0	8		
5048.1yr.S3	5048	B	1yr	365	5.899897354	S3	S	F	N	1506.808664	6.092453	0.92	336.57		0	0	0	0	8		
5048.2w.F	5048	B	2w	14	2.63905733	F	F	F	N	252.884615	2.406697	1.11	9.98	420	0	0	0	0	0		
5048.2yr.F	5048	B	2yr	857	6.753437919	F	F	F	N	2321.888889	5.479889	0.55	473.4		0	0	0	9	17	5.15	8.24
5048.2yr.L1	5048	B	2yr	856	6.752270376	L1	L	F	N	2257.804444	5.79166	0.55	473.4		0	0	0	9	17	5.15	8.24
5048.2yr.L2	5048	B	2yr	857	6.753437919	L2	L	F	N	2055.529412	5.72978	0.55	473.4		0	0	0	9	17	5.15	8.24
5048.2yr.L3	5048	B	2yr	858	6.754604099	L3	L	F	N	1955.987805	5.795497	0.55	473.4		0	0	0	9	17	5.15	8.24
5048.2yr.S1	5048	B	2yr	856	6.752270376	S1	S	F	N	2218.34375	5.626599	0.55	473.4		0	0	0	9	17	5.15	8.24
5048.2yr.S2	5048	B	2yr	857	6.753437919	S2	S	F	N	2815.289474	5.652096	0.55	473.4		0	0	0	9	17	5.15	8.24
5048.2yr.S3	5048	B	2yr	858	6.754604099	S3	S	F	N	1907.879397	5.596515	0.55	473.4		0	0	0	9	17	5.15	8.24
5048.4w.F	5048	B	4w	25	3.218875825	F	F	F	N	528.884615	3.063226	1.48	34.02	1197	0	0	0	0	0		
5048.8w.F	5048	B	8w	54	3.988984047	F	F	F	N	508.882353	3.544666	1.11	57.61	22545	0	0	0	0	0		
5049.1yr.F	5049	A	1yr	359	5.883322388	F	F	F	N	3047.538462	5.773647	0.86	314.49		0	6	0	0	26		
5049.2w.F	5049	A	2w	11	2.397895273	F	F	F	N	225.75	1.778249	0.76	6.8	426	0	6	0	0	6		
5049.2yr.F	5049	A	2yr	867	6.765038977	F	F	F	N	2165.092593	5.760927	0.69	596.47		0	6	0	9	35	8.06	15.42
5049.4w.F	5049	A	4w	26	3.258096538	F	F	F	N	225.789474	3.061845	0.64	15.42	2315	0	6	0	0	6		
5050.1yr.F	5050	B	1yr	369	5.910796644	F	F	F	N	3097.322581	5.754115	0.8	289.69		0	0	0	0	8		
5050.2w.F	5050	B	2w	11	2.397895273	F	F	F	N	118.071429	2.182062	0.86	7.71	513	0	0	0	0	0		
5050.2yr.F	5050	B	2yr	842	6.735780014	F	F	F	N	1174.75	5.125035	0.66	553.53		0	0	0	119	127	5.69	9.48
5050.4w.F	5050	B	4w	27	3.295836866	F	F	F	N	377.571429	3.46517	0.93	23.13	2238	0	0	0	0	0		
