Animal	Diet	Day	Intake
5027	B	14	45
5027	B	15	45
5027	B	16	38
5027	B	17	62
5027	B	18	56
5027	B	19	38
5027	B	20	27
5027	B	21	44
5027	B	22	41
5027	B	23	20
5027	B	24	114
5027	B	25	42
5027	B	26	30
5027	B	27	25
5027	B	28	27
5027	B	29	31
5027	B	30	36
5027	B	31	74
5027	B	32	17
5027	B	33	
5027	B	34	14
5027	B	35	162
5027	B	36	31
5027	B	37	61
5027	B	38	69
5027	B	39	174
5027	B	40	
5027	B	41	
5027	B	42	83
5027	B	43	141
5027	B	44	87
5027	B	45	109
5027	B	46	241
5027	B	47	321
5027	B	48	202
5027	B	49	364
5027	B	50	440
5027	B	51	600
5027	B	52	865
5027	B	53	583
5027	B	54	764
5027	B	55	901
5027	B	56	967
5027	B	57	1250
5032	B	1	21
5032	B	2	42
5032	B	3	31
5032	B	4	37
5032	B	5	53
5032	B	6	28
5032	B	7	51
5032	B	8	36
5032	B	9	33
5032	B	10	43
5032	B	11	44
5032	B	12	47
5032	B	13	42
5032	B	14	20
5032	B	15	32
5032	B	16	54
5032	B	17	10
5032	B	18	26
5032	B	19	41
5032	B	20	46
5032	B	21	45
5032	B	22	60
5032	B	23	53
5032	B	24	57
5032	B	25	58
5032	B	26	80
5032	B	27	70
5032	B	28	60
5032	B	29	63
5032	B	30	
5032	B	31	
5032	B	32	55
5032	B	33	20
5032	B	34	76
5032	B	35	100
5032	B	36	99
5032	B	37	94
5032	B	38	84
5032	B	39	91
5032	B	40	94
5032	B	41	85
5032	B	42	100
5032	B	43	109
5032	B	44	126
5032	B	45	127
5032	B	46	183
5032	B	47	219
5032	B	48	209
5032	B	49	221
5032	B	50	190
5032	B	51	309
5032	B	52	369
5032	B	53	
5032	B	54	750
5032	B	55	750
5032	B	56	1029
5032	B	57	1483
5032	B	58	1157
5032	B	59	907
5032	B	60	1402
5032	B	61	2000
5034	B	1	27
5034	B	2	25
5034	B	3	29
5034	B	4	34
5034	B	5	36
5034	B	6	45
5034	B	7	34
5034	B	8	27
5034	B	9	37
5034	B	10	35
5034	B	11	43
5034	B	12	35
5034	B	13	25
5034	B	14	52
5034	B	15	74
5034	B	16	48
5034	B	17	60
5034	B	18	83
5034	B	19	81
5034	B	20	52
5034	B	21	70
5034	B	22	65
5034	B	23	65
5034	B	24	78
5034	B	25	103
5034	B	26	94
5034	B	27	79
5034	B	28	118
5034	B	29	
5034	B	30	
5034	B	31	29
5034	B	32	42
5034	B	33	81
5034	B	34	
5034	B	35	74
5034	B	36	123
5034	B	37	124
5034	B	38	161
5034	B	39	201
5034	B	40	119
5034	B	41	
5034	B	42	227
5034	B	43	110
5034	B	44	140
5034	B	45	157
5034	B	46	357
5034	B	47	223
5034	B	48	322
5034	B	49	152
5034	B	50	355
5034	B	51	548
5034	B	52	355
5034	B	53	556
5034	B	54	750
5034	B	55	1229
5034	B	56	1260
5034	B	57	1070
5034	B	58	1612
5034	B	59	1846
5034	B	60	1824
5034	B	61	2250
5039	B	1	21
5039	B	2	38
