Sample	Animal	Diet	AgeGroup	AgeExact	Daysln	TypeAll	Type	Sex	ScourSample	chao	shannon	ADGKG	Gain	TotalIntake	ill.scour	ill.resp	ill.ketosis	ill.mastitis	ill.all	MPE	Effic
5017.2yr.F	5017	A	2yr	930	6.835184586	F	F	F	N	137.111111	3.198362	0.51	475.14		9	0	0	0	9	5.18	6.23
5017.2yr.L1	5017	A	2yr	929	6.834108739	L1	L	F	N	19	1.785729	0.51	475.14		9	0	0	0	9	5.18	6.23
5017.2yr.L2	5017	A	2yr	930	6.835184586	L2	L	F	N	23.5	2.169732	0.51	475.14		9	0	0	0	9	5.18	6.23
5017.2yr.L3	5017	A	2yr	931	6.836259277	L3	L	F	N	45	2.171836	0.51	475.14		9	0	0	0	9	5.18	6.23
5017.2yr.S1	5017	A	2yr	929	6.834108739	S1	S	F	N	16	1.69293	0.51	475.14		9	0	0	0	9	5.18	6.23
5017.2yr.S2	5017	A	2yr	930	6.835184586	S2	S	F	N	24	2.042523	0.51	475.14		9	0	0	0	9	5.18	6.23
5017.2yr.S3	5017	A	2yr	931	6.836259277	S3	S	F	N	37	1.927462	0.51	475.14		9	0	0	0	9	5.18	6.23
5019.1yr.F	5019	C	1yr	366	5.902633333	F	F	F	N	22.333333	1.840064	0.91	330.21		8	0	0	0	8		
5019.1yr.L1	5019	C	1yr	366	5.902633333	L1	L	F	N	28.666667	2.870294	0.91	330.21		8	0	0	0	8		
5019.1yr.L2	5019	C	1yr	367	5.905361848	L2	L	F	N	39.25	2.794882	0.91	330.21		8	0	0	0	8		
5019.1yr.L3	5019	C	1yr	368	5.908082938	L3	L	F	N	40	2.68564	0.91	330.21		8	0	0	0	8		
5019.1yr.S1	5019	C	1yr	366	5.902633333	S1	S	F	N	29.75	2.808733	0.91	330.21		8	0	0	0	8		
5019.1yr.S2	5019	C	1yr	367	5.905361848	S2	S	F	N	32	2.914428	0.91	330.21		8	0	0	0	8		
5019.1yr.S3	5019	C	1yr	368	5.908082938	S3	S	F	N	34.6	2.789102	0.91	330.21		8	0	0	0	8		
5019.2yr.F	5019	C	2yr	854	6.749931194	F	F	F	N	38	2.05774	0.65	559.28		8	0	0	0	8	6.77	8.32
