Animal	Diet	AgeExact	Wt	Age_norm	Wt_norm
5038	C	25	57.61	23	20.41
5042	C	27	58.97	25	17.69
5047	C	26	86.18	24	43.09
5051	C	27	71.67	25	26.31
5054	C	26	70.31	24	34.02
5055	C	26	65.32	24	8.16
5059	C	25	62.6	23	26.76
4926	C	54	108.86	52	65.77
4955	C	54	96.16	52	58.51
4970	C	54	117.93	52	73.03
5013	C	54	86.18	52	52.16
5019	C	55	98.88	53	48.08
5025	C	53	92.99	51	52.16
5028	C	53	103.42	51	69.4
5035	C	54	122.02	52	80.74
5038	C	54	99.79	52	62.6
5042	C	53	107.05	51	65.77
5047	C	55	122.02	53	78.93
5051	C	53	117.93	51	72.57
5054	C	54	89.36	52	53.07
5055	C	57	99.79	55	42.64
5059	C	53	103.87	51	68.04
5013	C	366	329.61	364	295.59
5019	C	366	381.02	364	330.21
5025	C	366	377.99	364	337.17
5028	C	366	398.4	364	364.39
5035	C	366	437.72	364	396.44
5038	C	366	390.09	364	352.89
5042	C	366	353.8	364	312.52
5047	C	366	433.94	364	390.85
5051	C	366	359.85	364	314.49
5054	C	366	356.83	364	320.54
5055	C	366	425.62	364	368.47
5059	C	366	384.04	364	348.21
5019	C	849	614.62	847	563.81
5028	C	850	610.84	848	576.82
5035	C	836	578.33	834	537.05
5038	C	834	581.73	832	544.54
5042	C	833	608.57	831	567.29
5047	C	877	699.29	875	656.2
5051	C	835	573.79	833	528.43
5054	C	837	546.58	835	510.29
5059	C	809	621.42	807	585.59
5019	C	859	610.08	857	559.28
5028	C	860	608.57	858	574.55
5035	C	846	587.4	844	546.12
5038	C	844	609.33	842	572.13
5042	C	843	622.56	841	581.28
5047	C	887	680.39	885	637.3
5051	C	845	579.09	843	533.73
5054	C	847	550.36	845	514.07
5059	C	819	634.27	817	598.44
