"ETOH"	"Lactate"
"Otu00694"	NA	NA
"Otu00695"	NA	NA
"Otu00696"	NA	NA
"Otu00697"	NA	NA
"Otu00698"	NA	NA
"Otu00699"	0.369274472937998	0.478091443733757
"Otu00700"	NA	NA
"Otu00701"	NA	NA
"Otu00702"	NA	NA
"Otu00703"	NA	NA
"Otu00705"	NA	NA
"Otu00706"	NA	NA
"Otu00708"	NA	NA
"Otu00709"	NA	NA
"Otu00710"	NA	NA
"Otu00712"	NA	NA
"Otu00714"	-0.369274472937998	-0.418330013267038
"Otu00716"	NA	NA
"Otu00717"	NA	NA
"Otu00721"	NA	NA
"Otu00722"	NA	NA
"Otu00723"	NA	NA
"Otu00724"	NA	NA
"Otu00726"	NA	NA
"Otu00727"	NA	NA
"Otu00729"	NA	NA
"Otu00730"	NA	NA
"Otu00731"	NA	NA
"Otu00734"	NA	NA
"Otu00735"	NA	NA
"Otu00737"	NA	NA
"Otu00738"	NA	NA
"Otu00740"	-0.369274472937998	0.358568582800318
"Otu00743"	NA	NA
"Otu00746"	NA	NA
"Otu00748"	NA	NA
"Otu00749"	NA	NA
"Otu00750"	NA	NA
"Otu00751"	NA	NA
"Otu00754"	NA	NA
"Otu00755"	NA	NA
"Otu00757"	NA	NA
"Otu00759"	NA	NA
"Otu00761"	NA	NA
"Otu00763"	NA	NA
"Otu00765"	NA	NA
"Otu00768"	NA	NA
"Otu00769"	NA	NA
"Otu00770"	NA	NA
"Otu00771"	NA	NA
"Otu00772"	NA	NA
"Otu00773"	NA	NA
"Otu00775"	NA	NA
"Otu00776"	NA	NA
"Otu00777"	NA	NA
"Otu00778"	NA	NA
"Otu00779"	NA	NA
"Otu00781"	NA	NA
"Otu00783"	NA	NA
"Otu00784"	NA	NA
"Otu00785"	NA	NA
"Otu00786"	NA	NA
"Otu00789"	NA	NA
"Otu00792"	NA	NA
"Otu00793"	NA	NA
"Otu00795"	NA	NA
"Otu00799"	NA	NA
"Otu00801"	NA	NA
"Otu00802"	NA	NA
"Otu00803"	NA	NA
"Otu00805"	NA	NA
"Otu00806"	NA	NA
"Otu00807"	0.369274472937998	0.478091443733757
"Otu00808"	NA	NA
"Otu00811"	NA	NA
"Otu00812"	NA	NA
"Otu00815"	NA	NA
"Otu00819"	NA	NA
"Otu00820"	NA	NA
"Otu00821"	NA	NA
"Otu00822"	NA	NA
"Otu00824"	NA	NA
"Otu00826"	NA	NA
"Otu00827"	NA	NA
"Otu00830"	NA	NA
"Otu00831"	NA	NA
"Otu00832"	NA	NA
"Otu00834"	NA	NA
"Otu00836"	NA	NA
"Otu00837"	NA	NA
"Otu00838"	NA	NA
"Otu00839"	NA	NA
"Otu00841"	NA	NA
"Otu00843"	NA	NA
"Otu00844"	NA	NA
"Otu00845"	NA	NA
"Otu00848"	NA	NA
"Otu00849"	NA	NA
"Otu00850"	NA	NA
"Otu00855"	NA	NA
"Otu00856"	NA	NA
"Otu00857"	NA	NA
"Otu00859"	-0.369274472937998	0.358568582800318
"Otu00861"	NA	NA
"Otu00867"	NA	NA
"Otu00870"	NA	NA
"Otu00871"	NA	NA
"Otu00872"	0.123091490979333	0.239045721866879
"Otu00873"	NA	NA
"Otu00875"	NA	NA
"Otu00876"	NA	NA
"Otu00877"	-0.224733287487747	0.480079358519183
"Otu00878"	NA	NA
"Otu00879"	0.492365963917331	-0.239045721866879
"Otu00883"	NA	NA
"Otu00884"	NA	NA
"Otu00885"	NA	NA
"Otu00886"	-0.369274472937998	-0.418330013267038
"Otu00887"	NA	NA
"Otu00888"	NA	NA
"Otu00889"	NA	NA
"Otu00890"	NA	NA
"Otu00891"	NA	NA
"Otu00892"	NA	NA
"Otu00894"	NA	NA
"Otu00895"	NA	NA
"Otu00896"	NA	NA
"Otu00898"	NA	NA
"Otu00900"	NA	NA
"Otu00901"	NA	NA
"Otu00902"	NA	NA
"Otu00903"	0.123091490979333	0.239045721866879
"Otu00904"	NA	NA
"Otu00906"	NA	NA
"Otu00910"	NA	NA
"Otu00911"	NA	NA
"Otu00912"	NA	NA
"Otu00915"	NA	NA
"Otu00918"	NA	NA
"Otu00920"	NA	NA
"Otu00921"	NA	NA
"Otu00922"	NA	NA
"Otu00923"	NA	NA
"Otu00924"	NA	NA
"Otu00925"	NA	NA
"Otu00926"	NA	NA
"Otu00927"	NA	NA
"Otu00928"	NA	NA
"Otu00929"	NA	NA
"Otu00930"	NA	NA
"Otu00932"	NA	NA
"Otu00933"	NA	NA
"Otu00934"	NA	NA
"Otu00935"	NA	NA
"Otu00936"	NA	NA
"Otu00937"	NA	NA
"Otu00940"	NA	NA
"Otu00941"	NA	NA
"Otu00942"	NA	NA
"Otu00943"	NA	NA
"Otu00944"	NA	NA
"Otu00945"	NA	NA
"Otu00948"	NA	NA
"Otu00951"	NA	NA
"Otu00952"	NA	NA
"Otu00953"	NA	NA
"Otu00955"	NA	NA
"Otu00957"	NA	NA
"Otu00958"	NA	NA
"Otu00959"	NA	NA
"Otu00960"	NA	NA
"Otu00963"	NA	NA
"Otu00966"	NA	NA
"Otu00967"	NA	NA
"Otu00968"	NA	NA
"Otu00970"	-0.369274472937998	0.358568582800318
"Otu00971"	NA	NA
"Otu00975"	NA	NA
"Otu00976"	NA	NA
"Otu00977"	NA	NA
"Otu00978"	NA	NA
"Otu00984"	NA	NA
"Otu00985"	NA	NA
"Otu00986"	NA	NA
"Otu00988"	0.492365963917331	-0.239045721866879
"Otu00990"	NA	NA
"Otu00991"	NA	NA
"Otu00993"	NA	NA
"Otu00994"	NA	NA
"Otu00995"	NA	NA
"Otu00997"	NA	NA
"Otu00998"	NA	NA
"Otu01001"	NA	NA
"Otu01003"	NA	NA
"Otu01004"	NA	NA
"Otu01006"	NA	NA
"Otu01008"	NA	NA
"Otu01009"	NA	NA
"Otu01010"	NA	NA
"Otu01012"	NA	NA
"Otu01013"	NA	NA
"Otu01014"	NA	NA
"Otu01015"	NA	NA
"Otu01016"	NA	NA
"Otu01017"	NA	NA
"Otu01019"	NA	NA
"Otu01020"	NA	NA
"Otu01021"	NA	NA
"Otu01022"	NA	NA
"Otu01024"	NA	NA
"Otu01025"	NA	NA
"Otu01026"	NA	NA
"Otu01027"	NA	NA
"Otu01030"	NA	NA
"Otu01032"	NA	NA
"Otu01036"	NA	NA
"Otu01037"	NA	NA
"Otu01038"	NA	NA
"Otu01039"	NA	NA
"Otu01040"	NA	NA
"Otu01048"	NA	NA
"Otu01049"	NA	NA
"Otu01050"	NA	NA
"Otu01051"	NA	NA
"Otu01053"	NA	NA
"Otu01054"	-0.369274472937998	0.358568582800318
"Otu01056"	NA	NA
"Otu01058"	NA	NA
"Otu01059"	NA	NA
"Otu01060"	NA	NA
"Otu01061"	NA	NA
"Otu01062"	NA	NA
"Otu01063"	0.123091490979333	0.239045721866879
"Otu01068"	NA	NA
"Otu01069"	NA	NA
