"Succinate"	"Lactate"	"Formate"	"Acetate"	"Propionate"	"Isobutyrate"	"ETOH"	"Butyrate"	"iVal.2MB"	"Valerate"	"Caproate"	"VFA_total_mM"	"branch_mM"	"Acetate_mF"	"Propionate_mF"	"Butyrate_mF"	"Valerate_mF"	"branch_mF"
"Otu00026"	-0.21997067253203	-0.176368905375665	0.0779420622574926	-0.0406147770805412	-0.0947678131879294	0.212099391420604	-0.140295712063487	-0.0315892710626431	0.103793319205827	0.0857423071700314	-0.176368905375665	-0.18502287336691	-0.0406147770805412	0.194048379384808	-0.121844331241624	-0.248201415492196	0.0857423071700314	0.0857423071700314
"Otu00027"	-0.21997067253203	-0.176368905375665	-0.140295712063487	-0.203073885402706	-0.248201415492196	-0.194048379384808	-0.140295712063487	-0.257226921510094	-0.121844331241624	-0.374558499742769	-0.176368905375665	-0.121844331241624	0.00451275300894902	0.2301504034564	-0.221124897438502	-0.194048379384808	-0.121844331241624	0.157946355313216
"Otu00028"	-0.349525477016341	-0.486383579666282	-0.104838035677649	0.379374874148213	0.166924944625214	0.379374874148213	-0.37816577155152	0.231960637336336	0.513781972417866	-0.145246380388173	-0.498935413980251	0.0672035491348263	0.310003468589683	0.158253518930397	-0.179932083167438	-0.0325178463555611	-0.357696309911172	0.29266061720005
"Otu00029"	-0.221162934232346	-0.177324841403798	-0.141056127996604	-0.0725954008640628	-0.172414077052149	0.00907442510800785	-0.141056127996604	-0.154265226836133	-0.0635209757560549	-0.20871177748418	-0.177324841403798	-0.136116376620118	-0.0453721255400392	0.181488502160157	-0.108893101296094	-0.163339651944141	-0.20871177748418	0.12704195151211
"Otu00030"	-0.21997067253203	-0.176368905375665	0.0623536498059941	-0.0315892710626431	-0.0857423071700314	0.221124897438502	-0.140295712063487	-0.0225637650447451	0.112818825223725	0.0767168011521333	-0.176368905375665	-0.194048379384808	-0.0496402830984392	0.203073885402706	-0.112818825223725	-0.257226921510094	0.0767168011521333	0.0767168011521333
"Otu00031"	-0.0274114094269153	0.126984126984127	-0.113638197945427	-0.159004992948611	-0.224800162444588	-0.126107408200622	-0.113638197945427	-0.202868439279262	-0.159004992948611	-0.290595331940565	-0.142857142857143	-0.0164487923739942	0.00548293079133141	0.027414653956657	-0.027414653956657	-0.0932098234526339	-0.126107408200622	0.027414653956657
"Otu00032"	-0.103618443476986	-0.248007936380948	-0.25773968074198	0.458738601596084	0.442157688285382	0.281875526281931	-0.105005055117103	0.392414948353276	0.414522832767546	0.154755190899884	-0.248007936380948	0.0884315376570764	0.127120335382047	0.0331618266214036	-0.0497427399321055	0.0718506243463746	-0.0221078844142691	0.06079668213924
"Otu00033"	-0.226833778699842	-0.0525406937492734	0.621691823392439	-0.251059094654884	-0.372051429428322	-0.0998186761880863	-0.25076644977174	-0.323654495518947	-0.172414077052149	-0.20871177748418	-0.31524416249564	0.184513310529493	0.329704112257618	0.0332728920626954	-0.0211736585853516	0.0393225088013673	-0.341803345734962	0.196612544006837
"Otu00034"	-0.107746044882425	0.0328379335932959	0.101873870219769	-0.163339651944141	-0.235935052808204	-0.0544465506480471	-0.141056127996604	-0.20871177748418	-0.108893101296094	-0.290381603456251	-0.177324841403798	0.117967526404102	0.136116376620118	0.0181488502160157	0.0272232753240235	-0.0181488502160157	-0.136116376620118	-0.0181488502160157
"Otu00035"	0.0451221892373395	-0.176368905375665	-0.140295712063487	-0.0947678131879294	-0.0406147770805412	-0.0857423071700314	-0.140295712063487	-0.130869837259522	-0.0857423071700314	-0.0947678131879294	0.039193090083481	-0.166971861331114	-0.248201415492196	0.0496402830984392	0.0225637650447451	-0.175997367349012	0.121844331241624	-0.284303439563788
"Otu00036"	-0.214422506967559	-0.257880714777564	0.210833911818335	0.0593855686848672	-0.098975947808112	0.0461887756437856	-0.205135697985407	-0.032991982602704	0.0923775512875712	-0.270534257342173	-0.257880714777564	0.257337464301091	0.376108601670825	0.0197951895616224	-0.0527871721643264	0.118771137369734	-0.488281342520019	0.25073906778055
"Otu00037"	0.192307692307692	0.356348322549899	-0.0797241005179101	0.184637236468999	0.230796545586249	-0.200023672841416	0.39862050258955	0.230796545586249	-0.169250800096582	0.215410109213832	0.289533012071793	0.230796545586249	-0.184637236468999	-0.200023672841416	0.200023672841416	0.200023672841416	0.184637236468999	-0.246182981958665
"Otu00038"	-0.21997067253203	-0.176368905375665	0.350739280158717	-0.121844331241624	-0.203073885402706	-0.130869837259522	-0.140295712063487	-0.203073885402706	-0.157946355313216	-0.221124897438502	-0.176368905375665	0.203073885402706	0.338456475671176	-0.0586657891163373	0.0496402830984392	0.166971861331114	-0.293328945581686	0.302354451599584
"Otu00039"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu00040"	-0.334482365811225	-0.271493412730746	-0.0118516914459566	0.178411710160659	0.0182986369395548	0.27905421332821	-0.292341722333597	0.132665117811772	0.402570012670205	-0.0182986369395548	-0.413861909650527	-0.0869185254628852	0.0960678439326626	0.27905421332821	-0.31565148720732	-0.14181443628155	-0.169262391690882	0.164687732455993
"Otu00041"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu00042"	0.00988960533128039	-0.0343604066372025	0.300658411201132	-0.336286380823507	-0.367936863724543	-0.114733000516255	0.0204994371273499	-0.296723277197212	-0.114733000516255	-0.170121345593068	0.108807954351141	-0.225509690669881	-0.122645621241514	0.114733000516255	-0.170121345593068	0.0751698968899604	0.0435194139889245	0.0356067932636655
"Otu00043"	-0.128564869306645	-0.04581387551627	0.0751646028002829	-0.130558241966773	-0.170121345593068	0.0435194139889245	0.00683314570911663	-0.0830825176152194	0.0356067932636655	0.0039563103626295	-0.0687208132744049	-0.328373760098248	-0.162208724867809	0.122645621241514	-0.0909951383404784	-0.170121345593068	0.0356067932636655	0.225509690669881
"Otu00044"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu00045"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu00046"	0.502298528967515	0.558915160510477	-0.163322001372317	0.015760250451282	0.307324883799999	-0.197003130641025	0.707728672613372	0.149722379287179	-0.267924257671794	0.441287012635895	0.627353751593392	0.133962128835897	-0.23640375676923	-0.40188638650769	0.40188638650769	0.0945615027076918	0.433406887410254	-0.338845384702562
"Otu00047"	-0.0850626670124407	-0.177324841403798	0.0862009671090356	-0.226860627700196	-0.281307178348243	-0.00907442510800785	-0.141056127996604	-0.290381603456251	-0.108893101296094	-0.344828154104298	-0.177324841403798	-0.136116376620118	-0.0816698259720706	0.281307178348243	-0.263158328132228	-0.181488502160157	-0.117967526404102	0.0725954008640628
"Otu00048"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu00049"	-0.125	-0.100222965717159	0.345471102244277	-0.0307728727448332	-0.0769321818620829	-0.0307728727448332	-0.0797241005179101	-0.0615457454896664	-0.0615457454896664	-0.0769321818620829	-0.100222965717159	0.0615457454896664	0.169250800096582	0	0.0153864363724166	0.0769321818620829	-0.230796545586249	0.153864363724166
"Otu00050"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu00051"	0.164454489557385	-0.0197027601559775	0.109710321775136	0	0.0544465506480471	0.0725954008640628	0.148892579551971	0.117967526404102	0.0181488502160157	0	-0.0197027601559775	0.117967526404102	0.0453721255400392	-0.0635209757560549	0.00907442510800785	0.245009477916212	-0.190562927268165	0.0181488502160157
"Otu00052"	-0.221162934232346	-0.177324841403798	0.133219676441237	-0.12704195151211	-0.190562927268165	-0.190562927268165	-0.141056127996604	-0.172414077052149	-0.0998186761880863	-0.226860627700196	-0.177324841403798	0.0725954008640628	0.190562927268165	0.0362977004320314	-0.0181488502160157	-0.0453721255400392	-0.217786202592188	0.108893101296094
"Otu00053"	-0.0923076923076923	-0.280624304008046	-0.223227481450148	0.412356494780765	0.289265003801432	0.375429047486965	-0.223227481450148	0.344656174742132	0.504675113015264	0	-0.280624304008046	0.0184637236468999	0.0923186182344995	0.184637236468999	-0.215410109213832	-0.110782341881399	-0.246182981958665	0.0246182981958665
"Otu00054"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu00055"	0.185027013631678	0.0952380952380952	0.520841740583208	-0.268663608775239	-0.279629470357902	-0.0493463771219827	0.142047747431784	-0.169970854531274	-0.0164487923739942	-0.0383805155393199	0.0634920634920635	-0.159004992948611	-0.00548293079133141	-0.0932098234526339	0.00548293079133141	0.202868439279262	-0.027414653956657	0.246731885609913
"Otu00056"	0.0451221892373395	-0.176368905375665	-0.140295712063487	-0.0947678131879294	-0.121844331241624	-0.0496402830984392	-0.140295712063487	-0.112818825223725	-0.121844331241624	-0.121844331241624	0.039193090083481	-0.338456475671176	-0.32040546363538	0.13989534327742	-0.0135382590268471	-0.284303439563788	-0.0586657891163373	-0.112818825223725
"Otu00057"	0	-0.142857142857143	-0.113638197945427	0.246731885609913	0.0932098234526339	0.268663608775239	-0.113638197945427	0.191902577696599	0.279629470357902	-0.0822439618699711	-0.142857142857143	0.246731885609913	0.213834300861925	-0.0383805155393199	-0.0164487923739942	0.159004992948611	-0.301561193523227	0.0493463771219827
"Otu00058"	0.142810366078999	0.188206125478018	-0.163322001372317	0.0315205009025639	0.189123005415384	0.0551608765794869	0.102076250857698	0.173362754964102	-0.110321753158974	0.165482629738461	0.176799693630865	-0.0709211270307689	-0.260044132446153	-0.015760250451282	0.110321753158974	0.00788012522564099	0.0788012522564099	-0.189123005415384
"Otu00059"	-0.125	-0.100222965717159	-0.0797241005179101	-0.107705054606916	-0.123091490979333	0.0461593091172498	-0.0797241005179101	-0.0923186182344995	0.0307728727448332	-0.0153864363724166	-0.100222965717159	-0.123091490979333	0.0461593091172498	0.0461593091172498	-0.0461593091172498	-0.153864363724166	0.107705054606916	0.184637236468999
"Otu00060"	0.0850626670124407	0.203595188278434	0.391822577768344	-0.299456028564259	-0.317604878780275	-0.0453721255400392	0.0705280639983019	-0.226860627700196	0.00907442510800785	-0.0181488502160157	-0.00656758671865917	-0.172414077052149	-0.0544465506480471	0.0362977004320314	-0.0998186761880863	0.0635209757560549	-0.0544465506480471	0.154265226836133
"Otu00061"	0.431729698473916	0.0476190476190476	-0.113638197945427	-0.235766024027251	0.0383805155393199	-0.31252705510589	0.23674624571964	-0.0164487923739942	-0.31252705510589	0.0493463771219827	0.30952380952381	-0.148039131365948	-0.323492916688553	-0.257697747192576	0.301561193523227	0.0932098234526339	0.191902577696599	-0.290595331940565
"Otu00062"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
