Sample	Animal	Diet	AgeGroup	AgeExact	Daysln	TypeAll	Type	Sex	ScourSample	chao	shannon	ADGKG	Gain	TotalIntake	ill.scour	ill.resp	ill.ketosis	ill.mastitis	ill.all	MPE	Effic
5019.1yr.L2	5019	C	1yr	367	5.905361848	L2	L	F	N	94	2.919885	0.91	330.21		8	0	0	0	8		
5019.1yr.L3	5019	C	1yr	368	5.908082938	L3	L	F	N	71	2.779348	0.91	330.21		8	0	0	0	8		
5019.1yr.S1	5019	C	1yr	366	5.902633333	S1	S	F	N	77.5	2.93823	0.91	330.21		8	0	0	0	8		
5019.1yr.S2	5019	C	1yr	367	5.905361848	S2	S	F	N	75	3.017841	0.91	330.21		8	0	0	0	8		
5019.1yr.S3	5019	C	1yr	368	5.908082938	S3	S	F	N	97.166667	2.915146	0.91	330.21		8	0	0	0	8		
5019.2yr.F	5019	C	2yr	854	6.749931194	F	F	F	N	30.875	2.092179	0.65	559.28		8	0	0	0	8	6.77	8.32
5019.2yr.L1	5019	C	2yr	853	6.748759547	L1	L	F	N	97.2	2.62634	0.65	559.28		8	0	0	0	8	6.77	8.32
5019.2yr.L2	5019	C	2yr	854	6.749931194	L2	L	F	N	85.625	2.636082	0.65	559.28		8	0	0	0	8	6.77	8.32
5019.2yr.L3	5019	C	2yr	855	6.751101469	L3	L	F	N	69.1	2.721553	0.65	559.28		8	0	0	0	8	6.77	8.32
5019.2yr.S1	5019	C	2yr	853	6.748759547	S1	S	F	N	69	2.509767	0.65	559.28		8	0	0	0	8	6.77	8.32
5019.2yr.S2	5019	C	2yr	854	6.749931194	S2	S	F	N	45.5	2.531595	0.65	559.28		8	0	0	0	8	6.77	8.32
5019.2yr.S3	5019	C	2yr	855	6.751101469	S3	S	F	N	84.666667	2.643081	0.65	559.28		8	0	0	0	8	6.77	8.32
5020.1yr.F	5020	A	1yr	365	5.899897354	F	F	F	N	47.5	1.935275	1.07	387.82		0	0	0	0	0		
5020.2yr.F	5020	A	2yr	895	6.796823718	F	F	F	N	557.15	3.700133	0.7	631.63		0	0	0	0	0	3.66	5.3
5022.1yr.F	5022	B	1yr	358	5.880532986	F	F	F	N	286	2.95997	1	364.23		6	0	0	0	9		
5022.1yr.L1	5022	B	1yr	358	5.880532986	L1	L	F	N	77.6	2.594936	1	364.23		6	0	0	0	9		
5022.1yr.L2	5022	B	1yr	359	5.883322388	L2	L	F	N	62.111111	2.565022	1	364.23		6	0	0	0	9		
5022.1yr.L3	5022	B	1yr	360	5.886104031	L3	L	F	N	63.75	2.154005	1	364.23		6	0	0	0	9		
5022.1yr.S1	5022	B	1yr	358	5.880532986	S1	S	F	N	85	2.404249	1	364.23		6	0	0	0	9		
5022.1yr.S2	5022	B	1yr	359	5.883322388	S2	S	F	N	89.5	2.830593	1	364.23		6	0	0	0	9		
5022.1yr.S3	5022	B	1yr	360	5.886104031	S3	S	F	N	78.875	2.376444	1	364.23		6	0	0	0	9		
5022.2yr.F	5022	B	2yr	805	6.690842277	F	F	F	N	238.428571	3.029529	0.72	583.47		6	0	0	0	9	4.43	9.5
5022.2yr.L1	5022	B	2yr	804	6.689599269	L1	L	F	N	78.090909	2.717633	0.72	583.47		6	0	0	0	9	4.43	9.5
5022.2yr.L2	5022	B	2yr	805	6.690842277	L2	L	F	N	135.2	2.675788	0.72	583.47		6	0	0	0	9	4.43	9.5
5022.2yr.L3	5022	B	2yr	806	6.692083743	L3	L	F	N	64.545455	2.66928	0.72	583.47		6	0	0	0	9	4.43	9.5
5022.2yr.S1	5022	B	2yr	804	6.689599269	S1	S	F	N	36.428571	2.567156	0.72	583.47		6	0	0	0	9	4.43	9.5
5022.2yr.S2	5022	B	2yr	805	6.690842277	S2	S	F	N	80.2	2.656474	0.72	583.47		6	0	0	0	9	4.43	9.5
5022.2yr.S3	5022	B	2yr	806	6.692083743	S3	S	F	N	95.2	2.648349	0.72	583.47		6	0	0	0	9	4.43	9.5
5025.1yr.F	5025	C	1yr	369	5.910796644	F	F	F	N	403.625	3.437871	0.93	337.17		0	0	0	0	5		
5026.1yr.F	5026	A	1yr	365	5.899897354	F	F	F	N	52.5	2.512249	0.98	356.98		1	0	0	0	8		
5026.2yr.F	5026	A	2yr	803	6.688354714	F	F	F	N	619.107143	3.854105	0.68	547.49		1	0	1	0	9	5.15	8.31
